"State","Facility Name","Facility ID","Date","Hour","Gross Load (MW)","Steam Load (1000 lb/hr)","SO2 Mass (lbs)","CO2 Mass (short tons)","NOx Mass (lbs)","Heat Input (mmBtu)"
"MA","Pittsfield Generating",50002,"2025-03-15",21,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-15",22,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-15",23,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-16",0,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-16",1,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-16",2,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-16",3,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-16",4,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-16",5,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-16",6,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-16",7,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-16",8,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-16",9,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-16",10,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-16",11,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-16",12,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-16",13,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-16",14,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-16",15,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-16",16,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-16",17,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-16",18,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-16",19,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-16",20,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-16",21,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-16",22,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-16",23,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-17",0,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-17",1,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-17",2,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-17",3,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-17",4,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-17",5,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-17",6,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-17",7,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-17",8,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-17",9,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-17",10,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-17",11,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-17",12,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-17",13,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-17",14,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-17",15,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-17",16,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-17",17,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-17",18,,,,,,
