datasourceId,sourceId,sourceType,StartOfPeriod,endOfPeriod,locationLatitude,locationLongitude,no2Conc1HourMean.qcAssessment,no2Conc1HourMean.status,no2Conc1HourMean.value,pm10ConcMass1HourMean.qcAssessment,pm10ConcMass1HourMean.raw,pm2_5ConcMass1HourMean.qcAssessment,pm2_5ConcMass1HourMean.status,pm2_5ConcMass1HourMean.value
DSHNM8883,AF9TLJ9M,CLARITY_NODE,2024;04;01;09,2024;04;01;10,42.45658,-73.2441,valid,calibrated-ready,23.95,valid,15.79,valid,calibrated-ready,3.87
DXXHJ4229,A3F7VX67,CLARITY_NODE,2024;04;01;09,2024;04;01;10,42.44963,-73.25216,valid,calibrated-ready,27.81,valid,12.46,valid,calibrated-ready,3.98
DARSM2019,AF64TV9R,CLARITY_NODE,2024;04;01;10,2024;04;01;11,42.45179,-73.25484,valid,calibrated-ready,22.52,valid,12.53,valid,calibrated-ready,4.91
DBGKL8516,AGK79VTM,CLARITY_NODE,2024;04;01;10,2024;04;01;11,42.46803,-73.20072,valid,calibrated-ready,14.13,valid,7.96,valid,calibrated-ready,3.31
DDTAU0510,AK639KKR,CLARITY_NODE,2024;04;01;10,2024;04;01;11,42.42506,-73.22515,valid,calibrated-ready,18.51,valid,10.58,valid,calibrated-ready,3.26
DJFKW1483,ANWQJL6T,CLARITY_NODE,2024;04;01;10,2024;04;01;11,42.42689,-73.28892,valid,calibrated-ready,16.58,valid,13.9,valid,calibrated-ready,2.83
DKWAZ4010,AKR3XP4V,CLARITY_NODE,2024;04;01;10,2024;04;01;11,42.45855,-73.22086,valid,calibrated-ready,27.09,valid,11.61,valid,calibrated-ready,3.8
DLWGJ5363,AFVGL7MJ,CLARITY_NODE,2024;04;01;10,2024;04;01;11,42.42171656,-73.20349336,valid,calibrated-ready,19.13,valid,7.63,valid,calibrated-ready,3.03
DMTLY7351,AXGPYFJ7,CLARITY_NODE,2024;04;01;10,2024;04;01;11,42.45301464,-73.26174029,valid,calibrated-ready,31.59,valid,15.69,valid,calibrated-ready,4.05
DSHNM8883,AF9TLJ9M,CLARITY_NODE,2024;04;01;10,2024;04;01;11,42.45658,-73.2441,valid,calibrated-ready,22.42,valid,13.63,valid,calibrated-ready,3.89
DXXHJ4229,A3F7VX67,CLARITY_NODE,2024;04;01;10,2024;04;01;11,42.44963,-73.25216,valid,calibrated-ready,28.77,valid,12.54,valid,calibrated-ready,4
DARSM2019,AF64TV9R,CLARITY_NODE,2024;04;01;11,2024;04;01;12,42.45179,-73.25484,valid,calibrated-ready,22.99,valid,13.99,valid,calibrated-ready,4.8
DBGKL8516,AGK79VTM,CLARITY_NODE,2024;04;01;11,2024;04;01;12,42.46803,-73.20072,valid,calibrated-ready,17.88,valid,8.92,valid,calibrated-ready,3.57
DDTAU0510,AK639KKR,CLARITY_NODE,2024;04;01;11,2024;04;01;12,42.42506,-73.22515,valid,calibrated-ready,18.59,valid,21.39,valid,calibrated-ready,4.57
DJFKW1483,ANWQJL6T,CLARITY_NODE,2024;04;01;11,2024;04;01;12,42.42689,-73.28892,valid,calibrated-ready,21.22,valid,19.5,valid,calibrated-ready,3.51
DKWAZ4010,AKR3XP4V,CLARITY_NODE,2024;04;01;11,2024;04;01;12,42.45855,-73.22086,valid,calibrated-ready,25.04,valid,8.82,valid,calibrated-ready,3.44
DLWGJ5363,AFVGL7MJ,CLARITY_NODE,2024;04;01;11,2024;04;01;12,42.42171656,-73.20349336,valid,calibrated-ready,18.8,valid,9.53,valid,calibrated-ready,3.3
DMTLY7351,AXGPYFJ7,CLARITY_NODE,2024;04;01;11,2024;04;01;12,42.45301464,-73.26174029,valid,calibrated-ready,29.6,valid,18.86,valid,calibrated-ready,4.65
DSHNM8883,AF9TLJ9M,CLARITY_NODE,2024;04;01;11,2024;04;01;12,42.45658,-73.2441,valid,calibrated-ready,25.14,valid,15.18,valid,calibrated-ready,3.98
DXXHJ4229,A3F7VX67,CLARITY_NODE,2024;04;01;11,2024;04;01;12,42.44963,-73.25216,valid,calibrated-ready,31.19,valid,14.39,valid,calibrated-ready,4.39
DARSM2019,AF64TV9R,CLARITY_NODE,2024;04;01;12,2024;04;01;13,42.45179,-73.25484,valid,calibrated-ready,21.06,valid,13.59,valid,calibrated-ready,5.06
DBGKL8516,AGK79VTM,CLARITY_NODE,2024;04;01;12,2024;04;01;13,42.46803,-73.20072,valid,calibrated-ready,17.39,valid,12.08,valid,calibrated-ready,4.08
DDTAU0510,AK639KKR,CLARITY_NODE,2024;04;01;12,2024;04;01;13,42.42506,-73.22515,valid,calibrated-ready,19.02,valid,18.92,valid,calibrated-ready,4.4
DJFKW1483,ANWQJL6T,CLARITY_NODE,2024;04;01;12,2024;04;01;13,42.42689,-73.28892,valid,calibrated-ready,25.96,valid,19.22,valid,calibrated-ready,3.74
DKWAZ4010,AKR3XP4V,CLARITY_NODE,2024;04;01;12,2024;04;01;13,42.45855,-73.22086,valid,calibrated-ready,19.49,valid,9.66,valid,calibrated-ready,3.67
